level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11745,11745,Chocolate em Pó,chocolate-em-po,/shelves/mercearia/cafe-cha-e-achocolatados/chocolate-em-po/11745,,,99,8
3,False,10292,10292,Açúcar e Adoçantes,acucar-e-adocantes,/shelves/mercearia/acucar-e-sobremesas/acucar-e-adocantes/10292,,,100,40
3,False,11737,11737,Chocolate e Cacau de Culinária,chocolate-e-cacau-de-culinaria,/shelves/mercearia/acucar-e-sobremesas/chocolate-e-cacau-de-culinaria/11737,,,101,16
3,False,11738,11738,Farinha e Fermento,farinha-e-fermento,/shelves/mercearia/acucar-e-sobremesas/farinha-e-fermento/11738,,,102,14
3,False,11739,11739,"Aromas, Toppings e Corantes",aromas-toppings-e-corantes,/shelves/mercearia/acucar-e-sobremesas/aromas-toppings-e-corantes/11739,,,103,7
3,False,11740,11740,Gelatinas,gelatinas,/shelves/mercearia/acucar-e-sobremesas/gelatinas/11740,,,104,34
3,False,11741,11741,Bolos e Sobremesas,bolos-e-sobremesas,/shelves/mercearia/acucar-e-sobremesas/bolos-e-sobremesas/11741,,,105,35
3,False,11742,11742,Coberturas e Decoração,coberturas-e-decoracao,/shelves/mercearia/acucar-e-sobremesas/coberturas-e-decoracao/11742,,,106,30
3,False,11743,11743,Leite Condensado,leite-condensado,/shelves/mercearia/acucar-e-sobremesas/leite-condensado/11743,,,107,14
3,False,11744,11744,Fruta em Calda,fruta-em-calda,/shelves/mercearia/acucar-e-sobremesas/fruta-em-calda/11744,,,108,15
3,False,10260,10260,Cereais Infantis e Juvenis,cereais-infantis-e-juvenis,/shelves/mercearia/cereais-e-barras/cereais-infantis-e-juvenis/10260,,,109,28
3,False,11050,11050,Cereais Linha e Fibra,cereais-linha-e-fibra,/shelves/mercearia/cereais-e-barras/cereais-linha-e-fibra/11050,,,110,38
3,False,11052,11052,Muesli e Granola,muesli-e-granola,/shelves/mercearia/cereais-e-barras/muesli-e-granola/11052,,,111,9
3,False,11053,11053,Flocos e Papas,flocos-e-papas,/shelves/mercearia/cereais-e-barras/flocos-e-papas/11053,,,112,18
3,False,11054,11054,Barras de Cereais,barras-de-cereais,/shelves/mercearia/cereais-e-barras/barras-de-cereais/11054,,,113,37
3,False,11072,11072,Doces e Compotas,doces-e-compotas,/shelves/mercearia/cremes-de-barrar-doces-e-mel/doces-e-compotas/11072,,,114,40
3,False,10318,10318,Marmelada e Goiabada,marmelada-e-goiabada,/shelves/mercearia/cremes-de-barrar-doces-e-mel/marmelada-e-goiabada/10318,,,115,12
3,False,10317,10317,Cremes de Barrar,cremes-de-barrar,/shelves/mercearia/cremes-de-barrar-doces-e-mel/cremes-de-barrar/10317,,,116,19
3,False,10319,10319,Mel,mel,/shelves/mercearia/cremes-de-barrar-doces-e-mel/mel/10319,,,117,10
3,False,11082,11082,Bolachas de Chocolate,bolachas-de-chocolate,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-de-chocolate/11082,,,118,40
3,False,10796,10796,Bolachas com Cobertura e Recheio,bolachas-com-cobertura-e-recheio,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-com-cobertura-e-recheio/10796,,,119,40
3,False,10251,10251,Bolachas Infantis,bolachas-infantis,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-infantis/10251,,,120,20
3,False,11747,11747,"Bolachas de Manteiga, Shortcake e Palmiers",bolachas-de-manteiga-shortcake-e-palmiers,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-de-manteiga-shortcake-e-palmiers/11747,,,121,40
3,False,10253,10253,Bolachas Maria e Torrada,bolachas-maria-e-torrada,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-maria-e-torrada/10253,,,122,18
