identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
14508,5411188115496,1000.0,Alpro,Bebida de Soja Sem Açúcar,Embalagem de 1L,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59C7541613D2AEC2ECBE5B108019BE70.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1469,5601286251787,500.0,Milaneza,Massa de macarrão,Embalagem de 500g,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/23F94F5EC15597A4AB9A1FC4C5526842.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
15955,7613032408794,90.0,Purina Gourmet,Comida húmida para gato duplo prazer com peixe do oceano,Embalagem de 90g,0.69,7.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DBE7166FBADAD4BECDB0C2B9DB9A4BC4.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
17024,5601286252777,250.0,Milaneza,Cannelloni,Embalagem de 250g,1.33,5.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CCA9CE4DC3690BAFEB69D1C50C01CEE0.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
21349,3011932000805,1000.0,Martini,Vermute rosso,Garrafa de 1 l,11.38,11.38,1000,L,€/L,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC8A59FA07229CD8C8A2D995DE31196C.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2403,5608543000072,20.0,Tetley,"Chá de mel, limão e ginseng",Embalagem de 20g,0.95,47.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB68353C4D0E30C880FEA97D075943EF.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2474,7613032408602,90.0,Purina Gourmet,Comida húmida para gato duplo prazer com vaca e frango,Embalagem de 90g,0.69,7.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/96D993E9EEE0A797DBA50ACE06B2467D.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
25811,8426617013400,90.0,Haribo,Gomas favoritos pica,Embalagem de 90g,1.04,11.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F06F3E48CABC66B0D25DCF6D4ADB977F.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2722,8410031132519,120.0,Chupa Chups,Chupa original,Embalagem de 120g,2.49,20.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D2F28C30A0D1CE43806B0B75F083CD2C.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
32342,5603722517334,200.0,Milhafre,Queijo açoriano fatias de textura cremosa,Embalagem de 200g,2.09,10.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ED1DA3BFDC83B30FF20CB1A8441640A4.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
33563,5609060007070,200.0,Delta,Cevada solúvel,Embalagem de 200 g,2.29,11.45,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FCB4ACE0A99B76EEACA4812C330BEF0D.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
41447,5601082047812,,Delta Q,Café mythiq,Embalagem com 40 cápsulas,14.99,14.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8B9EC0DC169048AF93D5FDC86ECCEBB0.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
50393,5411188136613,1000.0,Alpro,Alpro not milk clássica,Garrafa de 1 l,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7CE5F21FCA8DEED8ABE07C23B2B91786.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
52302,3600542512428,400.0,Garnier,Champô Ultra Suave Carvão,Embalagem de 400ml,3.79,9.48,400,L,€/L,,Produtos Bio,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8126B6DDAA84D0A1234F6E7D42BC7B29.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
6277,8410001103754,,Scotch-Brite,Pano amarelo Multiusos,Embalagem de 1 unidades,1.08,1.08,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4EDC51C03E14CCEABAB0D6C2E4C33CFE.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
11883,5602445000543,750.0,Encosta das Perdizes,Vinho regional alentejano reserva tinto,Garrafa de 0.75 l,3.29,4.39,750,L,€/L,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/97CDEC766F9D980921096CEB55AB1DA5.jpg,,,2024-09-06T23:59:59.999999999+01:00,PROSPECTUS,12,4,
