identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,images_8,avantages_dateFin,avantages_categorie,nro_paginas,page
54517,5029053550305,,Huggies,"Fraldas Extra Care T1 2-5Kg, 28un.",,4.78,4.78,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A2E95B30896952FC9C4FFD8981B959F6.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54518,5029053583143,,Huggies,"Fraldas Extra Care T4 8-16Kg, 33un.",,9.59,9.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B4D48CB6A66741F793540D856BF49008.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54519,5029053583150,,Huggies,"Fraldas Extra Care T5 11-25Kg, 28un.",,9.59,9.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/299D3C902FE8AA04E309EE636AE1776F.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54601,5000347027499,300.0,Aquafresh,"Elixir Bucal Proteção Completa Criança +6 Anos, 300ml",,2.99,9.97,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC337506CC55E244F3B6F8023F7F5261.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54622,7322542090732,,Tena,"Cuecas Incontinência Silhouette Plus L Creme, 8un.",,7.79,7.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73EA6FECBF7C254C89EC99A5C35D3C50.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A00D14FD9D20F776B5F8E514E1976E5C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B04226396A7642F1C85BBA5DB4AB9621.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/962759F5481D9F626D71512CE2267A28.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB3950A71116E00F9A837D3CCE5E2E12.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9120A5BE8A4812D8C0BB4D3B042AEE86.jpg,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54623,7322542088920,,Tena,"Cuecas Incontinência Silhouette Plus M Creme, 9un.",,7.79,7.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CE8A0C37CB2C197E9C2300F6F5674771.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DAD7FD90D721CAA542C6DE9FF778077F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5DD7B59809E81A2F7E69E3EA20D63F8A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/686FB7C4770C4C41B5C0E025C3F889E7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/906116D7BEDF42921CB8CBFC55A21FFC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD076EF3556F762314AC8B02A4B5C981.jpg,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54654,7322542285794,,Tena,"Cuecas Incontinência Pants Plus XL, 12un.",,14.99,14.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B861EF54000453F9928D2E6BDCD18B79.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/985A33F32038DB2678267FD52121F621.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F003752E9F01E8D5DD09248C9207F94.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7ADB2D0C76E4966985B595E17EC39EB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2534075BF54CADD6DE851AE60FFEAFB8.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AB9C663D96E31F39404400EB70802C8D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45D7317A09DC54A85D78B14B1C250B4D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CB4231BE3184746E1E8AB128B28F0C39.jpg,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54698,5600363850387,105.0,Alsa,"Gelatina em pó de manga e maracujá gelly-já, 105 g",,1.64,15.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8531A66D502A1ED829957CEC8B7C0E31.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
5471,5601385502575,75.0,Sensodyne,"Pasta dentífrica, pro-esmalte",Embalagem de 75 ml,3.94,52.53,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C62054EB3FCFFFD6938C2FBBB424E274.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54778,8720182790057,284.0,Hellmann's,"Maionese com Trufa, emb. 284 gr",,1.99,7.01,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/540D3D707C1502CA6EF487436D7C2742.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
