identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,pictogrammes_0,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
50175,8005125677542,,Clementoni,"Jogo ""Descobre as palavras""",1 unidade,12.99,12.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/76BA37119C639EB63F95B9844489449A.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
50454,5603722521829,1208.0,Mimosa,"Iogurte líquido Aroma Banana e Morango, 8 x 151 ml",,2.59,2.14,1208,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/075A7A2665714F15CA6F04254C980D30.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
50500,5601217134981,500.0,Vanish,"Aditivo Tira Nódoas Spray Nódoas Dia-A-Dia, 500 ml",,3.99,7.98,500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77F5862CE52D144666F18B51D6C135F6.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
50503,8410104895525,750.0,Vanish,Aditivo Tira Nódoas Gel Oxi Advance Pink,Garrafa de 750 ml,5.99,7.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89476E3A6FFE515514082BC21D3F3194.jpg,,,1000 Artigos,2024-09-06T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
50649,5060896627014,500.0,Monster,"Bebida Energética Reserve White Pineapple, lata de 500 ml",,1.39,2.78,500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/819FD215A8D51F854CECB769CFEAEEDF.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
51081,8006540758946,210.0,Lenor,Pérolas de Perfume Sensations,embalagem de 210 g,5.99,28.52,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C61FE804239F09CC477FFED570E1078D.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
51170,4005900780195,,Labello,Bálsamo de Lábios Dress Nude,5.5 ml,6.79,6.79,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B6167EAE4344C0E93B4A321978E6B8ED.jpg,,,Produtos Bio,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
51178,8410436428255,,Persil,Detergente Máquina Roupa Universal 4 em 1,52 cápsulas,11.99,11.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3142CD08DE798233E1B3C4D949069117.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
51182,5601217137272,,Quanto,"Perfumador de Roupa Rosa, 36 doses",,2.99,2.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73E6C5CD1DD294A9187A29BC9C940EBE.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
51277,7613287494344,340.0,Felix,Comida Húmida Gato Sensations Carne,Embalagem de 4 x 85 g,2.24,6.59,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/84227278535116B0EB40F4E809CFE39C.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,7,,,,,,,,,,
