identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
37603,5601244700005,250.0,Terra Nostra,"Manteiga sem sal terra nostra, embalagem de 250g",,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/825AD5ABA4663129CA24B0F2114DECAD.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DD4F4ED13036BE4F0A8D47DB404A192.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
47034,8714100827666,160.0,Knorr,"Caldo galinha receita económica, embalagem de 160g",,1.29,8.06,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/54D2297B42302C9BEB14DE9BF8F6F3CF.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
4867,5410041472509,100.0,Tuc,Bolachas cream & onion,Embalagem de 100g,1.04,10.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2295774E4587CC2EFD25EAE1F8DEF19.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
49359,5601146700066,6000.0,Sagres,"Cerveja com álcool, pack 24 x 0.25 l",,11.49,1.92,6000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67C6D1253BB0D82F02E1633DF741EA25.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2E3D57423A20C8E7B4C1173F1457C2E.jpg,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
52880,8719200267794,450.0,Becel,"Creme vegetal de barrar com sabor a manteiga, 450g",,3.56,7.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2EFE8BE5E96AF9FCA9D840059BF696C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
6059,5608527000524,750.0,Dom Campos,Vinho branco reg. p.set. 0.75l,Garrafa 0.75L,1.99,2.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CFEBAE3F7C01E0EE0EAB2B82395D3EA.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.4975,13,1
8384,5601049133992,1000.0,Mimosa,"Leite uht magro, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/128AB814EBA9C0783B386EB2E0A38CC9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8C350978140C257D0AAD7365CD133F0C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B9BED9F397071733FB4D36CBE39ECDBA.jpg,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
848,5000189974579,200.0,Kit Kat,"Chocolate mini, embalagem de 200g",,3.35,16.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90873705F18CB17964EF30C7A0BF7D60.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
882,5410041001204,100.0,Tuc,"Bolachas aperitivas, simples, embalagem de 100g",,1.04,10.4,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB0E5412E4B7AABA821CD2AF0DA3E461.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
