identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5
54480,8700216266154,330.0,H&S,"Champô Homem Anticaspa Classic, 330ml",,4.94,14.97,330,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8AB2E5865BDD64EC2071A54E5A07C995.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54482,8700216266079,330.0,H&S,"Champô Homem Anticaspa Antiqueda, 330ml",,4.94,14.97,330,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1420827EBC3BDE04661DEF9D75824F1.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54523,8720181510007,750.0,Vaseline,"Gel de banho rosas e jasmim, 750ml",,3.19,4.25,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2FD8253A8B895894EDB02B099474B66.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54530,8410436468404,,Persil,"Detergente Máquina Roupa Líquido Expert, 40D",,7.49,7.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/09DDE561DC366A2BBF78E754FC204555.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54535,8410436468244,,Persil,"Detergente Máquina Roupa Liquído Universal Ge, 60D",,9.49,9.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A070D7E6F340AA3492105815D623C6B9.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54536,8006540521830,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1, 21D",,5.98,5.98,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A348FE6C1FFA1BF08E9B5F7635F30CB.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54557,5604260332007,300.0,Labell,"Champô Anticaspa 2em1, 300ml",,1.69,5.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E53192879ADFE4BC3F0292F8A1D0DC5.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54564,5604260331956,300.0,Labell,"Condicionador Cabelos Normais Caracóis Perfeitos, 300ml",,1.89,6.3,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/27C2799A5C4C697851C4CDB7EFD00FAD.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54566,5604260331970,300.0,Labell,"Champô Cabelos Oleosos Regulação & Equilibrio, 300ml",,1.69,5.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72479A5AF550E330127D545D1E2AB908.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54572,5604260331918,300.0,Labell,"Champô Cabelos Secos Reparação & Nutrição, 300ml",,1.69,5.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C1B204D3B6C1DA07F9C40D8EC40088E.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54574,5604260331932,300.0,Labell,"Máscara Cabelos Secos Reparação & Nutrição, 300ml",,2.59,8.63,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CBAAFC8EEC2A6C108E0AD06602D4D03C.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54604,8720181471636,720.0,Dove,"Gel de banho fresh care, 720ml",,7.99,11.1,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A04F69573CB714F101DE27F9EF62ED87.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54616,8700216322089,,Fairy,"Detergente Máquina Loiça Pastilhas Platinum Plus Tudo em 1 Limão, 30D",,8.99,8.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/094A75AC8A071DA408FC35BE073E31DE.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
5464,5601377000355,750.0,Monsaraz,Vinho Rosé DOC Alentejo,"Garrafa de 0,75 l",3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/857D589A09D645BAF935FFBBE16886D5.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54663,5063270103852,44.0,Lipton,"Infusão maçã e canela, 20 unidades",,2.1,47.73,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CD994251C84A780234FD1771466A4F8.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54684,8711327611924,330.0,Magnum,"6 gelados mini chocolate e amêndoa, 330 ml",,5.99,18.15,330,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/779A2D41120BAD2364A0B6F639CCEACA.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54688,5411188113416,500.0,Alpro,"Yofu de soja pêssego e exótico vegan, pack 4 x 125 g",,2.54,5.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0942D9F06F1D83AC89FE945F1B81F906.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54699,5600363850332,105.0,Alsa,"Gelatina em pó de morango gelly-já, 105 g",,1.64,15.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/37096555A7085B6DFC23F80D676D4D77.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54700,5600363850370,105.0,Alsa,"Gelatina em pó de mirtilo gelly-já, 105 g",,1.64,15.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/436A8B7C8F6D0CADB66D24D3A24FB7D9.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
54702,5600363850417,264.0,Alsa,"Mousse de chocolate de leite familiar, 2 x 132 g",,3.29,12.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73C3F0D4ACC6ED340B956BB93E22119A.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,14,9,
