identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,images_7,avantages_dateFin,avantages_categorie
52636,8719200269026,400.0,Planta,"Creme vegetal para barrar, 400g",,2.54,6.35,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F65911004A3F054AD79E8D4223582388.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
52880,8719200267794,450.0,Becel,"Creme vegetal de barrar com sabor a manteiga, 450g",,3.56,7.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2EFE8BE5E96AF9FCA9D840059BF696C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
55018,5601027117303,430.0,Bimbo,"Pão de forma com Côdea, 430g",,1.74,4.05,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8757FB8F05D49E0A715282DD0C0165A7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C17DB6C614697DA1B5FB0CE80A911CD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C17DB6C614697DA1B5FB0CE80A911CD.jpg,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
55263,8445291133372,220.0,Sical,"Café Moído Moagem Universal Tradição Int 11, 220g",,3.35,15.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C71B4BE8C62CE03863B42CCFD75F09E.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
56530,5604260336777,150.0,Porsi Sel.,Farinheira P.Preto 150G,,1.99,13.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5434330545CA6FE737DC99FAB763CC22.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
5952,5604260266975,750.0,PorSi,Creme Limpeza Limao 750Ml,,1.05,1.4,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/027565F59F15238B5A7D4E131B9F8DAD.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
8802,5601244202363,400.0,Terra Nostra,"Queijo em fatias, embalagem de 400g",,4.19,10.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/902CA7799BBBA9029457B2CA9E0FB1C4.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
9292,5603722493812,250.0,Matinal,"Manteiga magra, embalagem de 250g",,2.49,9.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA91DFCE88DA98DA1BB05E606B3C1FF9.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
11465,5601018003608,1000.0,Matinal,"Leite seleccionado magro, de 1l",,1.0,1.0,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F46A1F399BBA63407EB01F30929F5649.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
12106,5604260266593,320.0,PorSi,Napolitanas Creme De Baunilha,,1.77,5.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DD74E124716DAC476D4D2CC49FD2F04F.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
13541,2893533000000,250.0,Congelado de Aquicultura,Camarão Congelado 60/80,1 un = 250 gr  (aprox.),1.75,6.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A2DFA509FFDAFCD18E7F308BD753B4.jpg,,,,,,2025-10-01T23:59:59+01:00,PROSPECTUS,,,,,,,13,1,,,,
