identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page
14653,5601119225442,110.0,Nobre,"Fiambre da perna extra fatias finas, embalagem de 110g",,1.99,18.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7FD7D9E34952BFCF466D7D36B77539B0.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
1469,5601286251787,500.0,Milaneza,"Massa de maçarrão, embalagem de 500g",,1.04,2.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/684581E08A7B473B6F7C59B6AD72C932.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
14726,8711100080060,400.0,Maizena,"Farinha, embalagem de 400g",,1.64,4.1,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/510CA0D1320DDBD17C988D55861FD3B8.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
15038,2892255000000,2500.0,Programa Origens,Melão Branco,Vendido ao peso | 1 un = 2.5 kg (aprox.),3.48,1.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/005D1DBE085639370AB2D6A0E6687717.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
15327,3250392098568,500.0,Páturages,Nata uht ligeira,Embalagem de 2X250ML,2.69,5.38,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A6C408B341279AA97BD82628F350472.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
15561,5601146703418,4950.0,Sagres,"Cerveja com álcool, pack 15 x 0.33 l",,11.95,2.41,4950,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A56DE85260A5F3173FD32BDBD1831F26.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
16072,2696083000000,62.0,Panpor,Carcaça de Cereais,,0.29,4.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/64BBBB65E56708FCB9DD0C80C78538ED.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
16489,5900020023797,375.0,Nestlé,"Cereais corn flakes sem glúten, embalagem de 380g",,2.79,7.44,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1DE75AEB2E5016A7BEDE0D3818F3288A.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
16492,8718951037847,500.0,Ajax,"Limpa vidros pistola, tripla acção, embalagem de 500 ml",,1.97,3.94,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/835152AD536CA633AE488A10E244161F.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
16607,8712561521529,700.0,Cif,"Creme abrasivo original, de 700 ml",,2.69,3.84,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30CCCA0B503F489882A8FCB31275E9C6.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,2
