identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page
32075,7613036496230,340.0,Purina One,Comida húmida para gato indoor em molho com atum,Embalagem de 340g,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3841879E8C072CCA15A9C44E736AF30F.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
32076,7613036496353,340.0,Purina One,"Comida húmida para gato esterilizado em molho com salmão, 4 x 85g",,2.59,7.62,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F5C404D1E0ED04E5681C0681EDCBF4A.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
33291,5601029000047,385.0,Bom Petisco,"Atum posta natural, 385g",,4.48,11.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F97402A97CE5BCD8777B49EE163C0C1E.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
33631,5601217130631,,Finish,"Ambientador para a máquina da loiça de lima e limão, 1 un.",,3.49,3.49,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59B0AD9BB7EBD8E68264D646B0B54FF9.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
34198,3083681047967,750.0,Bonduelle,"Três legumes couve-flor, brócolos e romanesco, 750 g",,2.69,3.59,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E952491925A9F41BEA9E2038156E899.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
34199,3083680905008,700.0,Bonduelle,"Salteado mediterrâneo, embalagem de 750 g",,4.09,5.84,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B23675E7CD8B0377798B2F686A375FC0.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
34205,8000300300390,100.0,Nestlé,"Tablete de chocolate negro, 100 g",,1.99,19.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7CB2494D0CD96388FE7A006BD04D9D2.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
35404,5600390419540,750.0,Dharma,Vinho branco região do Dão,Garrafa de 0.75 l,3.59,4.79,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8A2F41C909FC97214869C52F9EDE0C6A.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
35578,8435495808626,4250.0,A+,Detergente líquido máquina de lavar roupa fresh sensation,85 doses,11.99,2.82,4250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90416C87F2F243E7A70CD5033F0CF334.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
35884,7613036886536,400.0,Yogolino,Yogolino morango banana 0% açúcares adicionados 4x100g,Embalagem de 400g,2.54,6.35,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7807C1DC6FDB66074A291996AEB79A89.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
