identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4
53014,7610400090957,100.0,Lindt,"Tablete chocolate preto com framboesa e avelã 70% cacau, 100g",,3.95,39.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC7478070A6EC820E969DE0A3C2F1292.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53015,7610400090933,100.0,Lindt,"Tablete chocolate preto com caramelo e flor de sal 70% cacau, 100g",,4.49,44.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/995EC7F597323CB1A8AB0645FD2AF11E.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53194,8445290067890,800.0,Purina One,"Ração para Gato Pele e Pêlo, 800g",,5.59,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E4960ABB7C902819653D58752E4A631.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F57E7F5688102CC99095B3E6A5083F56.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F57E7F5688102CC99095B3E6A5083F56.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53201,8722700263951,112.0,Knorr,"Caldo natura de galinha, 4 x 28g",,1.85,16.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C4A95A050AD233CD0CE60FBC5DCD8B16.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C44C71F673042B8702982DA004384E92.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C44C71F673042B8702982DA004384E92.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53222,5411188138594,750.0,Alpro,"Yofu líquido manga e maracujá, 750 ml",,2.84,3.79,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F499373375BBE7B6DA22913882B6D40.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8099CC4A9BDBCB07D4BA426C6E1296D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8099CC4A9BDBCB07D4BA426C6E1296D.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53227,8410500028954,320.0,Danone,"Kefir Activia Natural, 320g",,1.89,5.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3618BB9FBE5019AAC8808484291DD432.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53229,8445290832917,190.0,Nestlé,"Refeição arroz com frango, 190g",,1.59,8.37,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A86A2FFA11A081C4BF9A01BDE75A344F.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53237,8445290299215,340.0,Purina One,"Comida Húmida para Cão Mini Controlo Peso, 4 x 85g",,2.24,6.59,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/40D134D7CE22BE39C26A49915801BF86.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53250,8445290486714,40.0,Lion,"Snack de Chocolate de Leite, 40g",,1.29,32.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E87D033715A145CA67F0E5139725497.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C2B530DD9586E6B093AFD7FA8A6A461.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C2B530DD9586E6B093AFD7FA8A6A461.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
53279,8445290067937,800.0,Purina One,"Ração para Gato Trato Urinário com Frango, 800g",,5.59,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DEB5FD7C05A1FA3BCCB54319F162F8FB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F83A4DDE0D85021D103CC59D2EDFA685.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F83A4DDE0D85021D103CC59D2EDFA685.jpg,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
